Place,State,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990
Dayton, OH,,,,,2950,6067,10977,20081,30473,38678,61220,85333,116577,152559,200982,210718,243872,262332,243601,203371,182044
Huntington Beach, CA,,,,,,,,,,,,,,,,,,,,170505,181519
Garland, TX,,,,,,,,,,,,,,,,,,,,,180650
Glendale, CA,,,,,,,,,,,,,,,,,,,,,180038
Columbus, GA,,,,,,,,9621,,,,,,,,,,,154168,169441,178681
Spokane, WA,,,,,,,,,,,,,104402,104437,115514,122001,161721,181608,170516,171300,177196
Tacoma, WA,,,,,,,,,,,36006,,83743,96965,106817,109408,143673,,154581,158501,176664
Little Rock, AR,,,,,,,,,,,,38307,,,,88039,,,,158461,175795
Bakersfield, CA,,,,,,,,,,,,,,,,,,,,,174820
Fremont, CA,,,,,,,,,,,,,,,,,,,,,173339
Fort Wayne, IN,,,,,,,,,17718,26880,35393,45115,63933,86549,114946,118410,133607,161776,177671,172196,173072
Arlington, VA,,,,,,,,,,,,,,,,,135449,163401,174284,,170936
Knoxville, TN,,,,,,,,,,,,,,77818,105802,111580,124769,,174587,175030,
Syracuse, NY,,,,,,,22271,28119,43051,51792,88143,108374,137249,171717,209326,205967,220583,216038,197208,170105,
Chattanooga, TN,,,,,,,,,,,,,,,119798,128163,131041,130009,,169565,
Metairie, LA,,,,,,,,,,,,,,,,,,,,164160,
Salt Lake City, UT,,,,,,,,,,20768,44843,53531,92777,118110,140267,149934,182121,189454,175885,163033,
Worcester, MA,,,,,4173,7497,17049,24960,41105,58291,84655,118421,145986,179754,195311,193694,203486,186587,176572,161799,
Warren, MI,,,,,,,,,,,,,,,,,,,179260,161134,
Kansas City, KS,,,,,,,,,,,38316,51418,82331,101177,121857,121458,129553,121901,168213,161087,
Flint, MI,,,,,,,,,,,,,,91599,156492,151543,163143,196940,193317,159611,
Providence, RI,6380,7614,10071,11767,16833,23171,41513,50666,68904,104857,132146,175597,224326,237595,252981,253504,248674,207498,179213,156804,
Gary, IN,,,,,,,,,,,,,,,100426,111719,133911,178320,175415,,
Springfield, MA,,,,,6784,10985,11766,15199,26703,33340,44179,62059,88926,129614,149900,149554,162399,174463,163905,,
Hartford, CT,2683,3523,3955,4726,7074,9468,13555,26917,37180,42015,53230,79850,98915,138036,164072,166267,177397,162178,158017,,
Bridgeport, CT,,,,,,,,12106,18969,27643,48866,70996,102054,143555,146716,147121,158709,156748,156542,,
Rockford, IL,,,,,,,,,,,,,,,85864,,,126706,147370,,
Paterson, NJ,,,,,,7596,11334,19586,33579,51031,78347,105171,125600,135875,138513,139656,139336,143663,144824,,
Youngstown, OH,,,,,,,,,,,33220,44885,79066,132358,170002,167720,168330,166689,139788,,
Fort Lauderdale, FL,,,,,,,,,,,,,,,,,,,139590,,
Evansville, IN,,,,,,,,11484,21830,29280,50756,59007,69647,85264,102249,97062,128636,141543,138764,,
Nashville, TN,,,,,5566,6929,10165,16988,25865,43350,76168,80865,110364,118342,153866,167402,174307,170874,,,
New Haven, CT,4487,4049,5772,7147,10180,12960,20345,39267,50840,62882,86045,108027,133605,162537,162655,160605,164443,152048,,,
Erie, PA,,,,,,,,,19646,27737,40634,52733,66525,93372,115967,116955,130803,138440,,,
Amarillo, TX,,,,,,,,,,,,,,,,,,137969,,,
South Bend, IN,,,,,,,,,,,,,53684,70983,104193,101268,115911,132445,,,
Albany, NY,3498,5289,10762,12630,24209,33721,50763,62367,69422,90758,94923,94151,100253,113344,127412,130577,134995,129726,,,
Trenton, NJ,,,3002,3942,3925,,,17228,22874,29910,57458,73307,96815,119289,123356,124697,128009,,,,
Scranton, PA,,,,,,,,,35092,45850,75215,102026,129867,137783,143433,140404,125536,,,,
Camden, NJ,,,,,,,9479,14358,20045,41659,58313,75935,94538,116309,118700,117536,124555,,,,
Cambridge, MA,,,,,6072,8409,15215,26060,39634,52669,70028,91886,104839,109694,113643,110879,120740,,,,
Savannah, GA,,5146,5215,7523,7303,11214,15312,22292,28235,30709,43189,54244,65064,83252,,95996,119638,,,,
Canton, OH,,,,,,,,,,,,,,87091,104906,108401,116912,,,,
Berkeley, CA,,,,,,,,,,,,,,,,,113805,,,,
Elizabeth, NJ,,,2977,3515,3455,,,11567,20832,28229,37764,52130,73409,95783,114589,109912,112817,,,,
Fall River, MA,,,,,4158,6738,11524,14026,26766,48961,74398,104863,119295,120485,115274,115428,111963,,,,
Peoria, IL,,,,,,,,14045,22849,29259,41024,56100,66950,76121,104969,105087,111856,,,,
Wilmington, DE,,,,,,8367,13979,21258,30841,42478,61431,76508,87411,110168,106597,112504,110356,,,,
Reading, PA,,,3462,4332,5856,8410,15743,23162,33930,43278,58661,78961,96071,107784,111171,110568,109320,,,,
New Bedford, MA,,4361,5651,3947,7592,12087,16443,22300,21320,26845,40733,62442,96652,121217,112597,110341,109189,,,,
Allentown, PA,,,,,,,,,,,,,,73502,92563,96904,106756,,,,
Somerville, MA,,,,,,,,,,24933,40152,61643,77236,93091,103908,102177,,,,,
Lowell, MA,,,,,6474,20796,33383,36827,40928,59475,77696,94969,106294,112759,100234,101389,,,,,
Duluth, MN,,,,,,,,,,,33115,52969,78466,98917,101463,101065,,,,,
Utica, NY,,,,2972,8323,12782,17565,22529,28804,33914,44007,56383,74419,94156,101740,100518,,,,,
Waterbury, CT,,,,,,,,10004,,,,45859,73141,91715,99902,99314,,,,,
Lynn, MA,,,4087,4515,6138,9367,14257,19083,28233,38274,55727,68513,89336,99148,102320,98123,,,,,
Schenectady, NY,,5289,5903,3939,4268,6784,8921,9579,,,,,72826,88723,95692,,,,,,
Bayonne, NJ,,,,,,,,,,,,,55545,76754,88979,,,,,,
Wilkes-Barre, PA,,,,,,,,,,23339,37718,51721,67105,73833,86626,,,,,,
Lawrence, MA,,,,,,,8282,17639,28921,39151,44654,62559,85892,94270,,,,,,,
Manchester, NH,,,,,,,13932,20107,23536,32630,44126,56987,70063,78384,,,,,,,
Saint Joseph, MO,,,,,,,,,19565,32431,52324,102979,77403,77939,,,,,,,
Harrisburg, PA,,,,299,4312,5980,7834,13405,23104,30762,39385,50167,64186,75917,,,,,,,
Troy, NY,,,,5264,11556,19334,28785,39235,46465,56747,60956,60651,76813,71996,,,,,,,
Sioux City, IA,,,,,,,,,,,37806,,,71227,,,,,,,
Hoboken, NJ,,,,,,,,9662,20297,30999,43648,59364,70324,,,,,,,,
Charleston, SC,16359,18824,24711,24780,30289,29261,42985,40522,48956,49984,54955,55807,58833,,,,,,,,
Portland, ME,,3704,7169,8581,12598,15218,20815,26341,31413,33810,36425,50145,58571,,,,,,,,
East St. Louis, IL,,,,,,,,,,,,,58547,,,,,,,,
Terre Haute, IN,,,,,,,,,16103,26042,,,58157,,,,,,,,
Holyoke, MA,,,,,,,,,,21915,35637,45712,57730,,,,,,,,
Brockton, MA,,,,,,,,,,,,40063,56878,,,,,,,,
Johnstown, PA,,,,,,,,,,,,,55482,,,,,,,,
Passaic, NJ,,,,,,,,,,,,,54773,,,,,,,,
Allegheny, PA,,,,,2801,10089,21262,28702,53180,78682,105287,129896,,,,,,,,,
Covington, KY,,,,,,,9408,16471,24505,29720,37371,42938,,,,,,,,,
Saginaw, MI,,,,,,,,,,,46322,42345,,,,,,,,,
Lancaster, PA,,4292,5405,6633,7704,8417,12369,17603,20233,25769,32011,41459,,,,,,,,,
Binghamton, NY,,,,,,,,,,,35005,39647,,,,,,,,,
Augusta, GA,,,,,6710,6403,9448,12493,15389,21891,33300,39441,,,,,,,,,
Pawtucket, RI,,,,,,,,,,,,39231,,,,,,,,,
Altoona, PA,,,,,,,,,,,,38973,,,,,,,,,
Wheeling, VA/WV,,,,,,7885,11435,14083,19280,30737,34522,38878,,,,,,,,,
Brooklyn, NY,,,4402,7175,12406,36233,96838,266661,396099,566663,806343,,,,,,,,,,
Springfield, OH,,,,,,,,,,20730,31895,,,,,,,,,,
Quincy, IL,,,,,,,,13718,24052,27268,31494,,,,,,,,,,
Topeka, KS,,,,,,,,,,,31007,,,,,,,,,,
Elmira, NY,,,,,,,,,15863,20541,30893,,,,,,,,,,
Salem, MA,7921,9457,12613,12731,13895,15082,20264,22252,24117,27563,30801,,,,,,,,,,
Dubuque, IA,,,,,,,,13000,18434,22254,,,,,,,,,,,
Galveston, TX,,,,,,,,,,22248,,,,,,,,,,,
Auburn, NY,,,,,,5626,9548,10986,17225,21924,,,,,,,,,,,
Davenport, IA,,,,,,,,11267,20038,21831,,,,,,,,,,,
Chelsea, MA,,,,,,,,13395,18547,21782,,,,,,,,,,,
Petersburg, VA,2828,3521,5668,6690,8322,11136,14010,18266,18950,21656,,,,,,,,,,,
Taunton, MA,,,,4520,6042,7645,10441,15376,18629,21213,,,,,,,,,,,
Oswego, NY,,,,,,,12205,16816,20910,21116,,,,,,,,,,,
Bay City, MI,,,,,,,,,,20693,,,,,,,,,,,
Newport, KY,,,,,,,,10046,15087,20433,,,,,,,,,,,
Poughkeepsie, NY,,,,,,,11511,14726,20080,20207,,,,,,,,,,,
Springfield, IL,,,,,,,,,17364,19743,,,,,,,,,,,
Charlestown, MA,,,4959,6591,8783,11484,17216,25065,28323,,,,,,,,,,,,
North Providence, RI,,,,,,,7680,11818,20495,,,,,,,,,,,,
Bangor, ME,,,,,,8627,14432,16407,18289,,,,,,,,,,,,
Leavenworth, KS,,,,,,,,,17873,,,,,,,,,,,,
Newburgh, NY,,,,,,,,12578,17014,,,,,,,,,,,,
Norwich, CT,,,2976,2983,3135,,,14048,16653,,,,,,,,,,,,
Williamsport, PA,,,,,,,,,16030,,,,,,,,,,,,
New Albany, IN,,,,,,4226,8181,12647,15396,,,,,,,,,,,,
Gloucester, MA,5317,5313,5943,6384,7510,6350,7786,10904,15389,,,,,,,,,,,,
Cohoes, NY,,,,,,,,,15357,,,,,,,,,,,,
New Brunswick, NJ,,,,,,,,11256,15058,,,,,,,,,,,,
Burlington, IA,,,,,,,,,14930,,,,,,,,,,,,
Roxbury, MA,,,,4135,5247,9089,18364,25137,,,,,,,,,,,,,
Newburyport, MA,4837,5946,7634,6852,6375,7161,9572,13401,,,,,,,,,,,,,
Alexandria, VA,2748,4971,7227,8218,8241,8459,8734,12652,,,,,,,,,,,,,
Concord, NH,,,,,,4897,8576,10896,,,,,,,,,,,,,
Lockport, NY,,,,,,,,10871,,,,,,,,,,,,,
Newport, RI,6716,6739,7907,7319,8010,8333,9563,10508,,,,,,,,,,,,,
New London, CT,,5150,3238,333,4335,5519,8991,10115,,,,,,,,,,,,,
Nashua, NH,,,,,,6054,,10065,,,,,,,,,,,,,
Haverhill, MA,,,,,,4336,,9995,,,,,,,,,,,,,
Dorchester, MA,,,,,4074,4875,7969,9769,,,,,,,,,,,,,
Wilmington, NC,,,,2633,3791,5335,7264,9552,,,,,,,,,,,,,
Spring Garden District, PA,,,,3498,11140,27849,58894,,,,,,,,,,,,,,
Northern Liberties, PA,9913,10718,19874,19678,28872,34474,47223,,,,,,,,,,,,,,
Kensington, PA,,,,7118,13394,22314,46774,,,,,,,,,,,,,,
Southwark, PA,5661,9621,13707,14713,20581,27548,38799,,,,,,,,,,,,,,
Williamsburg, NY,,,,,,,30780,,,,,,,,,,,,,,
Moyamensing, PA,,,,,6822,14573,26979,,,,,,,,,,,,,,
Lafayette, LA,,,,,,,14190,,,,,,,,,,,,,,
Portsmouth, NH,4720,5339,6934,7327,8026,7887,9738,,,,,,,,,,,,,,
Portsmouth, VA,,,,,,6477,8626,,,,,,,,,,,,,,
Nantucket, MA,4620,5617,6807,7266,7202,9012,8452,,,,,,,,,,,,,,
Georgetown, DC,,2993,4948,7360,8441,7312,8366,,,,,,,,,,,,,,
Chicopee,MA,,,,,,,8291,,,,,,,,,,,,,,
Augusta, ME,,,,,,5314,8225,,,,,,,,,,,,,,
Dover, NH,,,,,5449,6458,8196,,,,,,,,,,,,,,
Danvers, MA,,,,,4228,5020,8109,,,,,,,,,,,,,,
Lynchburg, VA,,,,,4630,6395,8071,,,,,,,,,,,,,,
Bath, ME,,,,,,5141,8020,,,,,,,,,,,,,,
Madison, IN,,,,,,,8012,,,,,,,,,,,,,,
Zanesville, OH,,,,,3094,4766,7929,,,,,,,,,,,,,,
Warwick, RI,,,,,5529,6726,7740,,,,,,,,,,,,,,
Watervliet, NY,,,,,,,7564,,,,,,,,,,,,,,
Pottsville, PA,,,,,,4345,7515,,,,,,,,,,,,,,
Easton, PA,,,,,3529,4865,7250,,,,,,,,,,,,,,
Hudson, NY,2584,3664,4048,5310,5392,5672,,,,,,,,,,,,,,,
Marblehead, MA,5661,5211,5900,5630,5149,5575,,,,,,,,,,,,,,,
Plymouth, MA,,,4228,4348,4758,5281,,,,,,,,,,,,,,,
Cumberland, RI,,,,,,5225,,,,,,,,,,,,,,,
Andover, MA,,,,,4530,5207,,,,,,,,,,,,,,,
Frederick, MD,,,,3640,4427,5182,,,,,,,,,,,,,,,
Middleborough, MA,4526,4458,4400,4687,5008,5085,,,,,,,,,,,,,,,
Gardiner, ME,,,,,,5042,,,,,,,,,,,,,,,
York, PA,,2503,2847,3545,4216,4779,,,,,,,,,,,,,,,
Beverly, MA,,,4608,4283,4073,4689,,,,,,,,,,,,,,,
Carlisle, PA,,,,2908,3707,4351,,,,,,,,,,,,,,,
Columbia, SC,,,,,3310,4340,,,,,,,,,,,,,,,
Barnstable, MA,,,,,,4301,,,,,,,,,,,,,,,
Fayetteville, NC,,,,3532,2868,4285,,,,,,,,,,,,,,,
Steubenville, OH,,,,,2937,4247,,,,,,,,,,,,,,,
New Bern, NC,,,,3663,3796,,,,,,,,,,,,,,,,
Hagerstown, MD,,,,,3371,,,,,,,,,,,,,,,,
Fredericksburg, VA,,,,,3308,,,,,,,,,,,,,,,,
Middletown, CT,,,,2618,3123,,,,,,,,,,,,,,,,
Chillicothe, OH,,,,,2846,,,,,,,,,,,,,,,,
Natchez, MS,,,,,2789,,,,,,,,,,,,,,,,
Annapolis, MD,,,,,2623,,,,,,,,,,,,,,,,
